Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
EasyFoam (Sodium Lauroyl Sarcosinate powder),Sodium Lauroyl Sarcosinate,,,,Surfactant,Functional,Accepted,,,Surfactant,Anionic ,,,,,,Solid,,,,,,,,"A sulfate free alternative for Sodium Lauryl SulfoAcetate

EasyFoam (Sodium Lauroyl Sarcosinate) is a natural, food grade, anionic surfactant derived from the sodium salt of fatty acids and sarcosine amino acids.  EasyFoam is one of the oldest running cleansing agents and has been used in dental hygiene since the original production of toothpaste.  Unlike many others on the market, the Ingredients To Die For EasyFoam (Sodium Lauroyl Sarcosinate) is pure and  a min. 95% active.

Like the Lactylates, EasyFoam is of acyl structure making it ideal for natural cleansing systems where it offers an abundance of soft light foam. 

Offering unsurpassed hair support, and smooth feel on application, this is the surfactant of choice for all of your natural hair cleansers. 

The high water solubility makes this the perfect choice for foaming bath powders, bath bombs, and bath powders or soaks.  When you develop bath bombs with the classic baking soda and citric acid you can take them to the next level by giving them a nice foaming quality with the addition of EasyFoam.  As the bath bomb begins to fizz it will create enough friction to produce the foam taking your fizz bath to a foam bath, and the ultimate bath soak.  This may also be added to bath salts and have them added to running water for foam.  Don't forget, you can also add emollience to your bath bombs and bath powder soaks by adding a small amount of your favorite carrier oil so that you can offer your customer the ultimate foaming, emollient, bath bomb or bath powder soak. 

See our Formulary for basic information on making your own bath soak information and bath bomb starter recipes.

ATTRIBUTES 
Hair
Increased Body
Increased Suppleness
Improved Sheen
Improved Texture
Damage Repair (physical or chemical processing damage)
Skin
Effective but Gentle Cleansing
Won't Strip Moisture
Leaves Skin Feeling Soft
APPLICATIONS
Bath Bombs
Bath Powders
Powder Bath Soaks
Shaving Creams
Bath & Body Wash
Face Wash
Laundry Products
Shampoos",,"Mild,Smooth feel to the hair","foaming booster,thickens acidic ph (5.0-5.5) formulas",,,,,"Shampoo,Foaming bath powders,Bath bombs,Bath powders,Makeup remover",,Water,,,,,,,7-9% (10% watersol.),,,4-20%,❌,"Add to water phase.
Additional Surfactants Recommended for Optimal Foam Stability in shampoos and liquid cleansers (formulate for total 30.0 to 40.0 total actives with all surfactants)
10.0 to 30.0% Polyclucose Lactylate Blend
10.0 to 30.0% Decyl Glucoside
10.0 to 30.0% Coco Glucoside
10 to 15% CocoBetaine",,,,,,,SLSA - Sodium Lauryl Sulfoacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%,,,,,,,,,
ECOMulse,Glyceryl Stearate (and) Cetearyl Alcohol (and) Sodium Stearoyl Lactylate,Glyceryl stearate SE; Ritamulse SCG,,,Surfactant,Functional,Accepted,,,Emulsifier,Anionic ,,,,,,Solid,Off-white flakes,,,,,,,"Another easy to use emulsifier which creates smooth and creamy emulsions. Very versatile, as it helps create a wide range of textures - from milks to heavy creams depending on dosage used.Imparts an elegant, smooth and cool feeling to formulation making it ideal for oilier/combination skin types, eye contour care, body milks and non greasy creams for the hands and body.","Derived from Vegetable (coconut, palm and palm kernel) and mineral (potassium).","Less greasy skin feel,Occlusive,Powdery skin feel,Waxy skin feel",,,,hair and skin conditioner,,,,Oil,,,,,,,,,,,❌,"Wait till it gets to 40 ̊C before adding the preservative.
Maximum oils %: 25%",,,,,,,,,,,Cationic polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss Extract - glycerite,Leontopodium alpinium extract,,,391900-47-3,Active,Active botanicals,Accepted,,,,,,,,,Light brown,Liquid,Liquide de couleur ambrée (voire marron),,,1.1,,,,"L'Edelweiss n'est pas seulement le symbole des Alpes. Cette fleur est surtout connue pour sa beauté, sa rareté et ses incroyables propriétés antioxydantes lui permettant de vivre dans des conditions extrêmes tout en gardant sa beauté au fil du temps. Cet extrait d'Edelweiss, riche en antioxydants, est un puissant actif anti-âge 100 % naturel destiné aux peaux matures mais aussi aux peaux jeunes qui souhaitent le rester. Ses composés apaisants et adoucissants en font également un ingrédient de choix pour la formulations de soins pour les peaux fragiles et abîmées.

SOIN DE LA PEAU:
PROPRIÉTÉS
Riche en antioxydants, l'extrait d'Edelweiss possède une forte activité anti-âge et anti-rides.
Ravitalisant, il répare les peaux délicates
Apaisant et adoucissant, il soulage les peaux sujettes à démangeaisons et rougeurs
INDICATIONS
Peaux matures : rides, vieillissement prématuré
Peaux à tendance atopique
Gerçures, feu du rasoir, citatrices...
Peaux réactives, sensibles
Peaux sujettes à rougeurs et démangeaisons
Peaux exposées : mains, visage...
QUELQUES IDÉES
S'utilise en tant qu'ingrédient dans vos préparations :

Crème, sérum et gel anti-âge pour le visage et le corps et les mains
Baumes réparateurs et protecteurs contre les agressions (froid, pollution,...) : laits, crèmes après-soleil, soins protecteurs grand froid, baumes pour les lèvres,...
Pommade pour peaux sensibles
Gel après-rasage douceur premières rides
Crème adoucissante pour les mains
Contour des yeux lissants
Crème douceur soin des peux matures

L'Edelweiss aussi appelée étoile d'argent ou encore reine des glaciers est une plante vivace herbacée appartenant à la famille des Astéracées. Originaire d'Eurasie, elle immigra en Europe au cours des périodes glaciaires. Emblème des Alpes, l'edelweiss tire son nom de l'Allemand où ""edel"" signifie ""noble"" et ""weiss"" signifie ""blanc"". Longtemps ramassée de manière massive et déraisonnée, elle est aujourd'hui protégée et sa cueillette est interdite. L'edelweiss sauvage fleurit de juillet à septembre et pousse de 1800 à 3000 mètres d'altitude, sur des sols pauvres et caillouteux.C'est sa richesse en composés antioxydants et anti-inflammatoires qui lui permet de croître dans ces conditions extrêmes. Utilisée depuis des millénaires par la médecine traditionnelle contre des maux divers (diarrhées, angines, bronchites...) elle est de nos jours très prisée par les industries de la cosmétique pour ses vertus antioxydantes et ses propriétés apaisantes lui offrant une action anti-âge exceptionnelle !","Macération à basse température de plante (Fleurs) dans un mélange de glycérine BIO, d'eau et d'alcool BIO (5-10 %).

Les actifs contenus dans la fleur d'Edelweiss sont pour leur majorité solubles dans un milieu aqueux. Ainsi en la faisant macérer dans un mélange eau / glycérine / alcool, les actifs de la fleur vont très facilement se solubiliser dans le liquide d’extraction. Après filtration, on obtient un mélange eau / glycérine / alcool chargé avec les actifs de la plante.

Glycerin*, Aqua, Alcohol*, Leontopodium alpinium flower*
* ingrédients issus de l'Agriculture Biologique

- Acide chlorogénique : puissant antioxydant
- Luteolin-4'-o-glucoside et Apigenin-7-glucoside : adoucissant ils possèdent une activité anti-inflammatoire
- Lutéoline : favorise le maintien de l'élasticité et du tonus de la peau en inhibant la dégradation de l'acide hyaluronique, un des constituants principaux de la peau.
- Tanins : en piégeant les radicaux libres, ils présentent des propriétés antioxydantes. Ils limitent également l'oxydation des lipides de la peau et protègent ainsi du vieillissement prématuré.
- Beta-Sitostérols : activité anti-inflammatoire, anti-fongique et anti-bactérienne",,,,,"anti-aging,anti-oxidant; pollution; UV light,calming; soothing","damaged skin,mature skin,redness; rosacea; blemishes,sensitive skin",,checked,Water,,,,,,,,,,1 - 5%,❌,"L'extrait d'Edelweiss BIO peut être intégré dans toutes vos formules contenant de l'eau : crèmes, laits, gels, lotions, gels douche...

INTÉGRER L'EXTRAIT DANS TOUTES VOS FORMULES CONTENANT DE L'EAU
Incorporez l'extrait d'Edelweiss BIO à froid, en fin de formulation. Agitez longuement pour bien homogénéiser.",,,,room temperature,,,,,,,,,,"edelweiss.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/4n8dI96nhtSNwKvAcsN1Bw/y-LKD9vRcsnbVYw74VTBRxmBGFtwnQwDxdCtDZASbJm1SolVedlnZgq_r3gsSuXZpt-BBChGuDliz-b0gc1Cy8zb36BulU9US02nMo0-Wrc/NI6SqnUMIYSE-MneCmbVn2gXQW9HoH3TdZPGU5OYEGo),edelweiss4.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/JwfuEfTukeBBLffEQYuiTg/LJ5Cb3krlyvCWNUhl7lItl9f6HW8fEMfWWAsWxuhA8u_-6KFIIIFyMkkMORgTkdQn9VHJGF4vBjYaQENbAUIjnQaNks39OHffQdHSZpdc6c/lRhtAVfWFwBe6ZmVZtmLFRKyUryCx1OjJHDXQ5MrB6c),Edelweiss-Extract.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/WXVaZ9B57WXBD76RSyi0Jw/cQ0YN5oy9JWThVDAcyRh877KHGRf9pf3hFX_3-8_p4s5EdlKzvVBlwhGSpfcz8qam9LbZX_wjQBJCeiRmwR09oTCrk_ft1zUJij7dDttAzo/ErusC34qDIflX_cAjxyMHPDLyDs7zuDPGXMc1vpzI4M)",https://www.aroma-zone.com/info/fiche-technique/extrait-edelweiss-bio-aroma-zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemi EO,Canarium luzonicum or Canarium vulgare,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,"leaves,resin",steam distilled,,"Middle,Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Elemi.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/ypN-pJIoMdXtADmne3CLMQ/1cnY7mrkZikk7V2-OgEdrvu2IGD0DxTa0SHGuuCgk-C3wKZjfPHJIQlxOSunzswkK6IfGD_zVTt4cvt-HG_do8CELLZsxaBn_XJpA5JVavIlKIJD-WS9bJVGqUtUf4Lzt-rjnBd3FEeDMjkSot3QOw/sJOMXVq8BmImjxZTv15ce15qkCOJ2yWRUi9_zqKKN3k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Emu Oil,Dromiceius (Emu) Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Emu Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/9Rtxl1xXEbtOcGiXxcOpvg/3SGoki0wc1QygulklbrvLPXh_txKe1Q97afc0_hIT5T0QRRQOs8jKkHNLgJypAUBoYxTfzyYqDjxLcKKJRQx3Q-B30jT0zaI5rZsf5dcQbu_Q2Kpb1uKA1ye5WMPcBFe7bUsviBAr_WFZHWAM70a1Q/855ydhe-PfKQF0I3D_pkwE0SWiy9FQbsR2CCldDcxUI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emulsense HC,Brassicyl Isoleucinate Esylate (and) Brassica Alcohol ,,,,Surfactant,Functional,Accepted,,,Surfactant,Cationic,,,,,,,,,,,,,,"Anti-static agent, anti-frizz",,,,,,,,,,,,,,,,,,,,5.0-16.0%,❌,"alternative to btms50 in shampoo bars? conditioning??

Heat with the water phase, with the oil phase or in a one pot process to ca. 70 degree. Blend both phases and cool down under stirring. No homogenization is necessary.
The pH of the final product is usually around 3.5. If you want to increase the pH (in a shampoo or because of your preservative limitations for instance) you need to apply a weak base for this purpose. The suppliers suggests application of arginine . Usually a dosage of 0.2-0.4% is enough to increase the pH to 5.5.
We've tested both NaOH (lye) and baking soda to increase the pH and they don't work here. They build clumps and make the conditioner separate in two phases.
The supplier recommends application of Spectrastat G2-N for preserving this cationic surfactant in water containing formulations (hair conditioner, 2in1 shampoos or cleansing conditioners).
The only base you can use to increase the pH of hair conditioners made with Emulsense® HC is L-Arginine.

Emulsense HC is not compatible with anionic surfactants - please only use amphoteric or nonionic surfactants in your formulation.
",,,,,,,"Varisoft EQ 65,BTMS-50",,Spectrastat G2-N,"Amphoteric,Nonionic","Anionic surfactants; baking soda for ph adjustment (use arginine instead)

""Among all “natural” preservatives that we have tested with this ingredient, Spectrastat G2-N: Caprylhydroxamic acid (and) Glyceryl Caprylate (and) Glycerin is the only one compatible with this ingredient. Thus far, all other preservatives that we have tested with Emulsense HC turn the emulsion brown.""(Formula Botanica)",Incompatible with anionic surfactants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Arginine,
Emulsifying wax NF,Cetearyl Alcohol (and) Polysorbate 60,,,,Surfactant,Functional,Not accepted,,,Emulsifier,Non-ionic,,,,,,,,,,,,,,,,"Medium greasy skin feel,Slightly waxy skin feel",,,,,,,,,,,,,,,,,,,❌,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus (Globulus) EO,Eucalyptus globulus,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,leaves,steam distilled,"Camphoraceous,Fresh,Green,Sweet,Woody",Top,Clear,,,,thin,,,,,,,,,"balance,concentration,energy,rationality","apathy,confusion,depression,exhaustion,indifference,lack of concentration,low self-confidence,mood swings",cooling,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Eucalyptus (Globulus).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/OIkj4mRwd-uBoEier06XRg/6itktLdNzYWFpmoDpcasig31acE-WFZqJXj1F3_1ur2cgI9IKXSnMj02rLdUAwgNzfABXEUbIGfQobkjSvx2Dch8D_lYhK7Jrc53quAUPARZUjajFdz0DRuAYCtrngXlCtI68IkRHxZUrX3FYhBMpXSc44X117rYNC-QoSGKews/BccmKZr7_ETmtmQWliPdW4eP1piMiAzZePzH06IPA-8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Eucalyptus (Lemon) EO,Eucalyptus citriodora,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,leaves,steam distilled,,Top,,,,,,,,,,,,,,"comfort,concentration,courage,creativity,empathy,enthusiasm,harmony,optimism,trust,understanding,vitality","confusion,emptiness,fear,loneliness,restlessness",stimulating,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Eucalyptus (Lemon).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/SKFHjPrYtTp7mNN1JPaUlw/OdQRiy5ldrc8Ov5TzUTG5Bk-9ZSjWwYMnkaQH01w1xeRmJn0Tfd0KHBTGPC3M4vrbEAzb51wghh9eLr5KHz7tSzflce6dkR2zohzy7g8f03yEdwRy8ecYT4c8Kd4OHXAIB5jS_KkDsPkDy5p2IPPzw/JjFxkbyNyBSFagAmBL6Vqf2509fv9DS3TbQHleRSfjg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,,Not photosensitizing,,,,
Eucalyptus (Radiata) EO,Eucalyptus radiata,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,leaves,steam distilled,"Camphoraceous,Fresh,Medicinal,Soft,Sweet",Top,Clear,,,,thin,,,,,,,,,,"apathy,confusion,depression,indifference,low self-confidence","reduces inflammation,relieves itchy skin,stimulating,toning","acne-prone skin,inflammation,itching,oily skin,skin toner",,,,,,,,,,,,,,❌,,,"Rarely used in facial treatments, except in steaming.",2-3 years,,,,,,,,,,,Eucalyptus (Radiata).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/CgweCl7If1Q25-pjeb0Hbg/Uf_uIeyxLK8TgUoA9ro9Cqfmhcbab9_jKj_W7G6qpAbJ2jYLiDb1SW7F7x8BZfllSRiCHMa96VL1x9GVQg4zKq4EFuwyTEJIUrRvPz2A0EgWr5bV5PQJGcJSSC5TNunlwVQbVJjb0S8seUT09LZPpqviDeGBn44eQbnBil69eo8/367clBsTO-1GXnwxfzrpP7y5JFnrNwz-tZZVZvv2X6s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Eucalyptus (Smithii) EO,Eucalyptus smithii,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,leaves,steam distilled,,"Top,Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Eucalyptus (Smithii).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/OZplJOhX1fGCIj_Vnn7jfA/QipIJGN9IVqkSJY6dozHeI-7XC1tmsCgtuu6XFQIBnI76pokXueGm4NG_XS2Uua8hUxYFnSIq0uAWBBGJjF31n67u5upTPnirANMbj2SKtDzE_7KC0Uu58loK_F66WXZey94sFL90ATECRWXZnLZHg-gG3Uwc3sA8tKwn-Dy3TQ/yAXbK1u-5ppI5tZc9kx9_nYFJRSVSDaAS_ld_QQf0H4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Eucalyptus Globulus hydrosol,Eucalyptus globulus (eucalyptus) hydrosol water,,,,Hydrosol,Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euxyl K903,"benzyl alcohol, benzoic acid, dehydroacetic acid and tocopherol",,,,Preservative,Additive,Accepted,,,,,,,,,,,,,,,,,,For all rinse-off and leave-on products.,,,,,,,,,,"Oil,""Part oil, part water""",,,,,,,,,5.0-5.5,,❌,,,,,,,,,,,,,,,,https://skinchakra.eu/blog/archives/555-Whats-the-matter-with-benzy-alcohol.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euxyl PE 9010,Phenoxyethanol (and) Ethylhexylglycerin,,,,Preservative,Additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,Propanediol 1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening Primrose Seed Oil,Oenothera biennis,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,,,,,thick,,,,,,,,,,,,,,,,,,Fast,,,,,,,,❌,,,,,,,,,,,,,,,Evening Primrose Seed Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/PnQa7HBC8CFEPO3_N-g76A/ids_QTz40jbvWrCg54w7E9TBMboF1F6jNm3-fJyapJyeGgONhDTBLu5lv0g9PfIatWUzQpcANh2IYktKC1b2ZxMLFm0CxVlOHchhyiYyPjt6CPx_N-iaKxLVaGE7UwgZTKfltniLS2Hn7kWRDXcf1ioewDcOzbfm_ZYn0VKMGv8/iwINOQkOq_pP-8fmdOdxf8VPrrT-0y5sOb7flxqgFYM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma-Linolenic Acid,,,,,,,,,,,,
Fennel (Sweet) EO,Foeniculum vulgare dulce,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,seeds,steam distilled,"Floral,Sweet",Middle,Clear,,,,thin-medium,,,,,,,,,"assertiveness,courage,mental clarity,motivation,perseverance,self-confidence","anxiety,boredom,stress","regenerating,relaxing,repairs scar tissue,revitalising,toning","combination skin,improves skin tone,mature skin,normal skin,oily skin,scars",,,,,,,,,,,,,,❌,,,"Not to be used by those with epilepsy.
Not to be used during pregnancy and lactation.
Can cause skin irritation.",,,,,,,,,,,,"Fennel (Sweet).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/DK_C9C_ipzwC9lMNXjEIFg/DvKFOXdFvXE9pEL0D6RvW1xJGd_LTAgFu13VKIb4UR7fd8DSO9VJywYuaa-nQQerYBepP2nplv9vq__JEzn_w_vLL15UvIGya9oxUZF0nzyUxnX3T3FP-hno8D0TGKVZjBBXlQqd5KJlPRNxXYueaA/BHJg_0-9rv-xQcEUkX83Aa3zft8XNovQ4QNVcLJc5Gg),fennel.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/_5BEBwdXLAOuTJexJZCB7Q/5JMKO1q0ld0xrsJg8MVgWEmvGlorTEhx5OngMfz6cipcoRjHi6_ZtLm9usck96WsiwWvoc3oGzjdz0JA3LzswmWVzl2-QFfrYk79hc_plR6q-QhiljzpWo6PleUSN73MFFwxK5lEwWgG0xZDwLOJww/fHwu_e6VGxjVANamMHa4zSNaBq_N1zUwiDNqmmlmIN4),fennel2.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/LIY1kG_yr3Mbp9phoR4ZLg/7T4l-z3GmEnG7hVM_4HDdTxEXuHtLc5Z72_ObUQqCkZJp5cO9JHud67qH5RNlgk6Y6Sr3dCvdgo4nLzX2RNxIT0_E8Yvg-yq4gY58s8duu1L7iftkYt43gcAo_9qV_GJrek0cGx6kz6Ve0lEalljug/6whf0C3qfF_GUcLtZHgfuGstpr8eWjlRKZZQ01-DdwA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Not photosensitizing,,,,
Fir Balsam EO,Abies balsamea,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,needles,,,"Middle,Top",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,"Fir Balsam.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/82SEpELOL1LKr_PhcPmVxw/2d4HtTDSC6BkUlB375JzcF0dud6JXGcEz8Qa-lHGRf9QQlshdAwmeUxOqEtvg_Jw2lOcsUGaOU7y6yosdaO02IoWwp3a5dh-wGhdyj46KRebTk4QzIgSeZk0kjeg9o-iE3MtpgM_qL_QC6fa1nLAPA/CWgWz4rKD7MIYV0EAhSgf0wb2_1hpMCxRIfJdmNji5w),Fir Balsam 2.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/GsIZIq-VKzZ2cEQh7OtRNA/5wybxcs9pCPzk5hfzpsFbW16OWRSUs4DL1sMLzpChSokYuFf-CHv1X07YgKEKVjoVHljeXYOrGKNB3pKHUU2gpoG4y_hgT98qKVIfQzmZzCl_x_8AJs1eSoEKlz11Hyd9mEpV9fmZffysbcowEkePQ/t_LzSt0AyWqj3OXjrBRdzkfCdKV6Fii92BAFmiysJMg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Not photosensitizing,,,,
Fir Needle (Siberian) EO,Abies sibirica,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,"needles,twigs",steam distilled,"Balsamic,Forest,Fresh,Green","Top,Middle","Clear,Pale yellow",,,,medium,,,,,,,"Medium intensity scent,Poor persistence scent",,,"apathy,burnout,depression,discouragement,grief,indecision,low self-confidence,low self-esteem,procrastination","analgesic,deodorant","deodorant,muscle aches,muscle pains",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Fir Needle (Siberian).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/axs2dn-Dqga9rLg6F5VDfg/ta26jMQCVd4J_vS-7GkZ2TXyAaLREow-6f7lGCsYrj4cZnDuZL2zTkMBp7cDMxqS2aRYfSyYn-Zg_rYk6OQXdhq_XQ9zE3Fb81ezNCgxC51kKNPtnMBjgCGFAhpzE4qXBZ7OzA8-jYtW5XnXqyKAHv8S_95_A-YgmpPmmmv5Dqc/pcSO1IQrn3PGa4l-CiGFJfS13XI36yWSggpZ7QkBcPE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Not photosensitizing,,,,
Fir; Silver EO,Abies Alba Leaf oil,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Fir; Silver.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/Uuu0NCo8Xey67zRHFBIm7A/aiJWpe9NaTTNPSyVA7gY95t3stxzaayzKkQFmp7B3h9cGqsyK9x63icxefpP0p9PFXeCoGsGoUeeVrI7Tvw1tAXRnGrzvgqe7Ikg7UysRDIlm1e6PjN5o5n109BAW9aFIKg6Duk-jjc7409QHn-7Lw/6uNGw4FFpP_-hECV2aBE0t6-adY6o0QlpOhbFrXRSM4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Not photosensitizing,,,,
Flaxseed/Linseed Oil,Linum Usitatissimum (Linseed) Seed Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,170,170 - 204,,,,,✅,,,,,,,,,,,,,,,Flaxseed:Linseed Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/PVZ1TbrRr7hxEhqU4BpJaQ/ZOZyWdLQ2gU9fXRSBcGYCOi5yw4ejOEOL6UzsMj0kKDtSIFkOBGbfNgimr-_0QtvRRQxZXMLgNY4tPuXEQrbh5D3bGH71YIwruauMsEnCS9aHZsnSeGl2lSsXnPNSsGixjse-SMzW9KotLaZCZdqfi64gZxJ9GvoSKtP6Pm2FDg/NxoEaoedHo4gNmCAjmif7DTkB0ZL3ih0G8fZauzQU_k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpha-Linolenic Acid,,,,,,,,,Drying,,,
